text	label
Exel Composites ' long-term growth prospects remain favourable , however .	positive
The Samsung Mobile Applications Store was launched in January 2009 by Samsung Mobile Innovator , a program which enables mobile software developers to create applications for use across Samsung mobile devices .	neutral
Altogether CapMan employs approximately 150 people in Helsinki , Stockholm , Copenhagen , Oslo , Moscow and Luxembourg .	neutral
The segments through which the company operates are Frozen Food business , Seafoods , Vegetable Oil business , Grain Trading and Other business operations .	neutral
UK 's Sarantel to outsource part of its processes to Elcoteq plant in Estonia LONDON , Oct 13 , BNS - The British miniature antennas maker Sarantel has signed an agreement to outsource its assembly test and supply chain processes to the plant of Elcoteq in the Estonian capital Tallinn .	neutral
Dolce & Gabbana has asked the European Union to declare Marimekko Corporation 's `` Unikko '' floral pattern trademark invalid , in a continuing dispute between the two companies .	negative
Pharmaceutical market in Belgium Global Research & Data Services published recently a market analysis about the pharmaceutical markets in Belgium .	neutral
Finnish newspaper publisher Sanoma , of media group SanomaWSOY , is merging its free sheets Uutislehti 100 and Metro as of mid-September 2008 to form a new free sheet to be named Metro .	neutral
Sponda is a property investment company , specialising in commercial properties in the largest cities in Finland and Russia .	neutral
They will cover all Forest Industry 's units and employees in Finland and concern temporary and permanent lay-offs .	negative
Lemcon has also signed a pre-contract for the purchase of the park 's entire 130-hectare site .	positive
Kesko has about 2,000 stores engaged in chain operations in the Nordic and Baltic countries , Russia , and Belarus .	neutral
Tekla will implement the renewal in software versions which will be introduced in spring 2011 .	positive
The new name of the Sanoma Division will be Sanoma News .	neutral
By combining its existing solutions into a single platform , Comptel said that it has reduced the cost of deployment .	positive
( ADP News ) - Jan 22 , 2009 - Finnish mobile phones maker Nokia Oyj ( OMX : NOK1V ) said today its operating profit decreased to EUR 5 billion ( USD 6.5 bn ) for 2008 from EUR 8 billion for 2007 .	negative
HK Ruokatalo now accounts for about 50 % of poultry sales in Finland , and profitability is at a good level .	positive
Sales came in at 241 mln eur , compared with 211.4 mln , and also beating consensus forecasts of 235 mln eur .	positive
According to Gran , the company has no plans to move all production to Russia , although that is where the company is growing .	neutral
ITG 's share in the deal is estimated at some 500,000 euro $ 627,000 .	neutral
These new units will be built at Cargotec 's state of the art manufacturing facility in San Antonio , Texas , USA , which started operations in 2009 .	neutral
Operating profit totalled EUR 9.0 mn , down from EUR 9.7 mn in the first half of 2008 .	negative
The product advisory does not apply to any other Nokia-branded battery , the company said .	neutral
Temporary layoffs in these units have already started .	neutral
The German subsidiary will produce software development services for Ixonos Telecommunications Business Unit 's client projects .	neutral
In addition the production personnel of the Sport Division have been given a temporary lay-off warning .	negative
Operating profit rose to EUR 26.7 mn from EUR 14.9 mn in the corresponding period in 2006 .	positive
A. Le Coq had a market share of 41.3 percent and rival beverage group Saku 32.1 percent .	neutral
The company 's previous estimate was for a lower revenue than the year-ago EUR 93.9 million .	negative
The device can also be used for theft protection and positioning of vehicles , boats and other assets .	neutral
No financial details were provided .	neutral
The business is organised , as of February 1 , 2011 , in a way that production of design services is combined into one entity , Etteplan Operations .	neutral
The second company acquired is Sweden 's Reftele Maskinservice AB , whose business is mainly field services and spare parts manufacturing , with 10 employees and 1.2 mln eur sales a year .	neutral
All reproduction for further distribution is prohibited .	neutral
The company expects its net sales in 2008 to increase 5-10 % from 2007 .	positive
`` We are pleased to deliver the Basware Invoice Automation solution to a major retail company in the US .	positive
The largest construction company in Finland , YIT Corporation , is to acquire 70 % of the shares in the Slovak construction company Reding Bratislava .	neutral
Country : , Switzerland Sector : Pharmaceuticals Target : Synosia Therapeutics Holding AG Buyer : Biotie Therapies Corp Deal size in USD : 129.4 m Type : Corporate acquisition Financing : All-stock Status : Closed	neutral
He is a Chartered Accountant in British Columbia and Alberta as well as a Certified Public Accountant in Washington State .	neutral
Finnish Stockmann Group 's mail order unit Hobby Hall has launched a trial marketing campaign in Russia .	neutral
Finnlines said that the deal is part of its strategy to focus on its core businesses .	neutral
According to the company , the lay-offs will be temporary .	neutral
Profit for the period was EUR 5.9 mn , up from EUR 1.3 mn .	positive
Operating profits in the half were  0.8 m , down from  0.9 m as Glisten invested in the brand and the management team .	negative
Short-term licenses for the games cost as little as $ 3 while purchasing a game outright can cost as much as $ 10 or $ 15 .	neutral
The proposal that the Board of Directors will make at the Annual General Meeting is attached as a whole to this release .	neutral
Sales in Latin America increased by 42 % to EUR 432mn , and a total of 8.7 mn mobile devices were sold in the area , representing an increase of 32 % from the corresponding period in 2009 .	positive
